grader,task_id,tier,tier_index,page_index,page_filename,score,elapsed_ms,component:block_match,component:text,component:position,component:color,component:block_ssim,component:edge_ssim,component:clip,component:cw_ssim,component:ssim,component:lpips,component:layout_fidelity,component:color_accuracy,component:typography_hierarchy,component:spacing_and_rhythm,component:component_structure,component:asset_placement,component:text_content_fidelity,component:visual_polish,component:semantic_correctness,component:overall_similarity
design2code,ww-00008,tier_01_verbatim,1,1,index.html,0.763706,10654.49,0.988917,0.533233,0.967969,0.569124,0.605717,0.773195,0.907786,,,,,,,,,,,,,
design2code,ww-00008,tier_01_verbatim,1,2,page_02.html,0.826619,6183.05,0.949939,0.601187,0.977084,0.785704,0.759266,0.752054,0.961100,,,,,,,,,,,,,
design2code,ww-00008,tier_01_verbatim,1,3,page_03.html,0.835253,6170.71,0.986900,0.718515,0.972253,0.767440,0.736155,0.716643,0.948865,,,,,,,,,,,,,
design2code,ww-00008,tier_01_verbatim,1,4,page_04.html,0.864488,5048.33,1.000000,0.669340,0.976044,0.819550,0.800956,0.844140,0.941383,,,,,,,,,,,,,
design2code,ww-00008,tier_01_verbatim,1,5,page_05.html,0.810701,5626.76,0.991999,0.581655,0.966882,0.743787,0.672761,0.755707,0.962114,,,,,,,,,,,,,
design2code,ww-00008,tier_02_minor,2,1,index.html,0.759969,8091.61,0.996738,0.564405,0.969622,0.519911,0.591907,0.771415,0.905787,,,,,,,,,,,,,
design2code,ww-00008,tier_02_minor,2,2,page_02.html,0.811787,6372.33,0.996502,0.554868,0.963673,0.732071,0.707167,0.766174,0.962055,,,,,,,,,,,,,
design2code,ww-00008,tier_02_minor,2,3,page_03.html,0.810565,6230.12,0.986900,0.669568,0.967990,0.698683,0.692541,0.710621,0.947651,,,,,,,,,,,,,
design2code,ww-00008,tier_02_minor,2,4,page_04.html,0.858957,5444.30,0.993502,0.687585,0.981177,0.785174,0.782546,0.833306,0.949407,,,,,,,,,,,,,
design2code,ww-00008,tier_02_minor,2,5,page_05.html,0.788081,5027.25,0.987898,0.521259,0.950463,0.687207,0.655793,0.755843,0.958104,,,,,,,,,,,,,
design2code,ww-00008,tier_03_section_removed,3,1,index.html,0.678394,7988.87,0.898925,0.384619,0.912335,0.433414,0.499875,0.702960,0.916628,,,,,,,,,,,,,
design2code,ww-00008,tier_03_section_removed,3,2,page_02.html,0.747459,6118.74,0.875155,0.362166,0.927118,0.767945,0.723836,0.676798,0.899197,,,,,,,,,,,,,
design2code,ww-00008,tier_03_section_removed,3,3,page_03.html,0.771261,4399.21,0.873060,0.518099,0.913515,0.744870,0.701487,0.703630,0.944167,,,,,,,,,,,,,
design2code,ww-00008,tier_03_section_removed,3,4,page_04.html,0.781520,5003.73,0.924397,0.437964,0.934741,0.766583,0.756867,0.721219,0.928868,,,,,,,,,,,,,
design2code,ww-00008,tier_03_section_removed,3,5,page_05.html,0.709424,5458.76,0.842946,0.278593,0.916765,0.693360,0.621204,0.736742,0.876359,,,,,,,,,,,,,
design2code,ww-00008,tier_04_shuffle_repaint,4,1,index.html,0.563055,7939.57,0.767597,0.333639,0.905978,0.183058,0.263622,0.696928,0.790565,,,,,,,,,,,,,
design2code,ww-00008,tier_04_shuffle_repaint,4,2,page_02.html,0.665567,6675.26,0.931161,0.307251,0.878239,0.495743,0.569739,0.670189,0.806649,,,,,,,,,,,,,
design2code,ww-00008,tier_04_shuffle_repaint,4,3,page_03.html,0.630645,6029.38,0.882990,0.388580,0.894574,0.315856,0.378920,0.701743,0.851854,,,,,,,,,,,,,
design2code,ww-00008,tier_04_shuffle_repaint,4,4,page_04.html,0.752194,5240.05,0.925647,0.548553,0.943858,0.597449,0.613776,0.780083,0.855993,,,,,,,,,,,,,
design2code,ww-00008,tier_04_shuffle_repaint,4,5,page_05.html,0.645619,7071.02,0.926975,0.335140,0.916761,0.386638,0.399106,0.740971,0.813740,,,,,,,,,,,,,
design2code,ww-00008,tier_05_blank,5,1,index.html,0.212024,1881.19,0.000000,0.000000,0.000000,0.000000,0.000000,0.830995,0.653174,,,,,,,,,,,,,
